,tmpf,dwpf,relh,drct,sknt,alti,vsby,skyl1,feel,skyc1_BKN,skyc1_FEW,skyc1_NSC,skyc1_OVC,skyc1_SCT,skyc1_VV ,month_Apr,month_Aug,month_Dec,month_Feb,month_Jan,month_Jul,month_Jun,month_Mar,month_May,month_Nov,month_Oct,month_Sep,dayofweek_flag_Fri,dayofweek_flag_Mon,dayofweek_flag_Sat,dayofweek_flag_Sun,dayofweek_flag_Thurs,dayofweek_flag_Tues,dayofweek_flag_Wed,season_flag_autumn,season_flag_spring,season_flag_summer,season_flag_winter,fr_code_IFR,fr_code_LIFR,fr_code_MVFR,fr_code_VFR
30415,53.6,50.0,87.56,140.0,1.0,30.15,3.73,3000.0,53.6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
25694,84.2,64.4,51.47,80.0,7.0,30.12,6.21,3000.0,85.71,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
11237,59.0,55.4,87.83,140.0,4.0,30.27,4.97,2000.0,59.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
31562,64.4,62.6,93.88,300.0,4.0,30.15,1.86,700.0,64.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
664,69.8,66.2,88.34,0.0,0.0,30.12,4.97,1500.0,69.8,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
26168,69.8,66.2,88.34,280.0,2.0,29.94,6.21,600.0,69.8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
33741,73.4,69.8,88.51,150.0,7.0,30.0,6.21,4000.0,73.4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
16464,68.0,68.0,100.0,220.0,2.0,29.94,3.11,600.0,68.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
31853,98.6,57.2,25.41,290.0,5.0,29.94,6.21,4000.0,97.76,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
38640,69.8,60.8,73.09,240.0,5.0,30.09,6.21,4000.0,69.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
22672,84.2,53.6,34.97,280.0,6.0,30.12,6.21,4000.0,82.76,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
14538,59.0,51.8,76.98,120.0,2.0,29.91,4.35,1400.0,59.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
21720,62.6,57.2,82.5,0.0,0.0,30.03,6.21,3000.0,62.6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
8746,68.0,59.0,72.92,60.0,3.0,30.03,6.21,2000.0,68.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
35382,68.0,59.0,72.92,100.0,5.0,30.18,6.21,4300.0,68.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
1921,68.0,62.6,82.86,140.0,6.0,30.18,6.21,2500.0,68.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
29464,71.6,59.0,64.48,250.0,5.0,30.12,3.73,2000.0,71.6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
21536,53.6,51.8,93.6,190.0,2.0,30.12,4.35,3000.0,53.6,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
38215,69.8,42.8,37.61,0.0,2.0,29.94,6.21,3000.0,69.8,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
21820,51.8,48.2,87.47,220.0,1.0,30.12,2.49,1500.0,51.8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
10485,87.8,69.8,55.29,170.0,4.0,29.85,6.21,4500.0,92.71,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
21294,59.0,57.2,93.74,0.0,0.0,30.21,6.21,3000.0,59.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
27526,66.2,64.4,93.92,120.0,4.0,30.12,6.21,1000.0,66.2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
8481,73.4,64.4,73.44,180.0,4.0,29.88,6.21,2000.0,73.4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
21398,69.8,57.2,64.26,60.0,3.0,30.24,4.97,2000.0,69.8,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
40029,71.6,66.2,83.09,0.0,2.0,29.91,4.35,3500.0,71.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
39114,66.2,57.2,72.74,70.0,5.0,30.06,6.21,1500.0,66.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
39193,77.0,60.8,57.36,310.0,3.0,29.97,6.21,2500.0,77.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
31169,68.0,59.0,72.92,160.0,10.0,30.24,6.21,3000.0,68.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
17484,73.4,71.6,94.1,140.0,6.0,30.06,6.21,3000.0,74.86,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
12816,64.4,57.2,77.45,90.0,4.0,30.15,6.21,2500.0,64.4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
10269,78.8,66.2,65.33,180.0,3.0,29.94,6.21,2500.0,80.82,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
21514,55.4,53.6,93.65,180.0,2.0,29.7,0.09,100.0,55.4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
22482,84.2,57.2,39.86,300.0,5.0,29.97,6.21,3000.0,83.47,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
10507,91.4,68.0,46.41,320.0,7.0,29.85,6.21,3000.0,95.55,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
16608,68.0,68.0,100.0,260.0,3.0,29.979231072460635,1.86,600.0,68.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
31287,68.0,59.0,72.92,220.0,6.0,30.06,6.21,3000.0,68.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
36072,73.4,53.6,49.9,40.0,4.0,30.12,6.21,4000.0,73.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
14812,77.0,60.8,57.36,250.0,5.0,29.88,6.21,4000.0,77.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
